City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
279,georgetown,MY,84.2,5.4112,100.3354,Cititel Penang
280,lazaro cardenas,MX,81.0,17.9583,-102.2,Hotel Quinta Antigua
286,grand gaube,MU,77.0,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
292,hualmay,PE,77.77,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
293,san policarpo,PH,79.36,12.1791,125.5072,JM Lodge
298,lucea,JM,86.0,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
303,buala,SB,78.69,-8.145,159.5921,Maringe Lagoon Lodge
306,santa maria,BR,78.8,-29.6842,-53.8069,Hotel Morotin
312,rajanpur,PK,79.81,29.1035,70.325,Style Inn Shoes Rajanpur
317,kirakira,SB,77.68,-10.4544,161.9205,SanBiz Lodge
322,brazzaville,CG,87.03,-4.2658,15.2832,Hotel Murex
324,omboue,GA,82.26,-1.5746,9.2618,Hotel Olako
327,samarai,PG,81.28,-10.6167,150.6667,Nuli Sapi
329,santa ines,BR,85.62,-3.6667,-45.38,HOTEL TOP
333,aswan,EG,83.25,24.0934,32.907,Nuba Nile
334,sambava,MG,80.98,-14.2667,50.1667,Melrose
336,najran,SA,78.8,17.4924,44.1277,محمد هادي ال فطيح
338,anloga,GH,77.0,5.7947,0.8973,Pin Drop Hotel
345,karratha,AU,83.88,-20.7377,116.8463,ibis Styles Karratha
353,nandi hills,KE,84.2,0.1066,35.1838,Kip's Eco Resort
354,ugoofaaru,MV,83.79,5.6667,73.0,Ungoofaaru Inn
358,cobija,BO,80.6,-11.0267,-68.7692,Hotel Obelisco
370,olinda,BR,84.2,-8.0089,-34.8553,Hotel Albergue de Olinda
372,gamba,GA,81.1,-2.65,10.0,Hotels
374,weligama,LK,78.13,5.9667,80.4167,Weligama Bay Resort
375,manacapuru,BR,82.4,-3.2997,-60.6206,Novo Hotel
377,beroroha,MG,77.38,-21.6667,45.1667,Hotels
379,nanuque,BR,83.95,-17.8392,-40.3539,Hotel e Churrascaria Boi na Brasa
381,san ignacio,BZ,77.0,17.1561,-89.0714,Rainforest Haven Inn
385,san pedro,PH,79.0,14.35,121.0167,OYO 412 Viewfort Venue
389,kroya,ID,76.51,-7.6331,109.2461,RUSTANTO Fam
